DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 A11_107_84.wav	 3.338	 0.000	 0	 16000	0.0000
 A11_107_85.wav	 3.344	 0.000	 0	 16000	0.0000
 A11_108.wav	 3.034	 0.000	 0	 16000	0.0000
 A11_108_K.wav	 2.390	 0.000	 0	 16000	0.0000
 A11_108_84.wav	 3.509	 0.000	 0	 16000	0.0000
 A11_108_85.wav	 3.520	 0.000	 0	 16000	0.0000
 A11_109.wav	 3.142	 0.000	 0	 16000	0.0000
 A11_109_K.wav	 2.501	 0.000	 0	 16000	0.0000
 A11_109_84.wav	 3.525	 0.000	 0	 16000	0.0000
 A11_109_85.wav	 3.628	 0.000	 0	 16000	0.0000
 A11_11.wav	 3.037	 0.000	 0	 16000	0.0000
 A11_11_K.wav	 2.587	 0.000	 0	 16000	0.0000
 A11_11_84.wav	 3.442	 0.000	 0	 16000	0.0000
 A11_11_85.wav	 3.506	 0.000	 0	 16000	0.0000
 A11_110.wav	 3.026	 0.000	 0	 16000	0.0000
 A11_110_K.wav	 2.395	 0.000	 0	 16000	0.0000
 A11_110_84.wav	 3.445	 0.000	 0	 16000	0.0000
 A11_110_85.wav	 3.514	 0.000	 0	 16000	0.0000
 A11_111.wav	 3.089	 0.000	 0	 16000	0.0000
 A11_111_K.wav	 2.317	 0.000	 0	 16000	0.0000
 A11_111_84.wav	 3.538	 0.000	 0	 16000	0.0000
 A11_111_85.wav	 3.518	 0.000	 0	 16000	0.0000
 A11_112.wav	 3.047	 0.000	 0	 16000	0.0000
 A11_112_K.wav	 2.540	 0.000	 0	 16000	0.0000
 A11_112_84.wav	 3.541	 0.000	 0	 16000	0.0000
 A11_112_85.wav	 3.618	 0.000	 0	 16000	0.0000
 A11_113.wav	 3.157	 0.000	 0	 16000	0.0000
 A11_113_K.wav	 2.232	 0.000	 0	 16000	0.0000
 A11_113_84.wav	 3.585	 0.000	 0	 16000	0.0000
 A11_113_85.wav	 3.581	 0.000	 0	 16000	0.0000
 A11_114.wav	 3.145	 0.000	 0	 16000	0.0000
 A11_114_K.wav	 2.419	 0.000	 0	 16000	0.0000
 A11_114_84.wav	 3.500	 0.000	 0	 16000	0.0000
 A11_114_85.wav	 3.514	 0.000	 0	 16000	0.0000
 A11_115.wav	 3.020	 0.000	 0	 16000	0.0000
 A11_115_K.wav	 2.710	 0.000	 0	 16000	0.0000
 A11_115_84.wav	 3.402	 0.000	 0	 16000	0.0000
 A11_115_85.wav	 3.540	 0.000	 0	 16000	0.0000
 A11_116.wav	 3.111	 0.000	 0	 16000	0.0000
 A11_116_K.wav	 2.034	 0.000	 0	 16000	0.0000
 A11_116_84.wav	 3.389	 0.000	 0	 16000	0.0000
 A11_116_85.wav	 3.415	 0.000	 0	 16000	0.0000
 A11_117.wav	 3.005	 0.000	 0	 16000	0.0000
 A11_117_K.wav	 2.410	 0.000	 0	 16000	0.0000
 A11_117_84.wav	 3.173	 0.000	 0	 16000	0.0000
 A11_117_85.wav	 3.139	 0.000	 0	 16000	0.0000
 A11_118.wav	 3.009	 0.000	 0	 16000	0.0000
 A11_118_K.wav	 2.249	 0.000	 0	 16000	0.0000
 A11_118_84.wav	 3.573	 0.000	 0	 16000	0.0000
 A11_118_85.wav	 3.667	 0.000	 0	 16000	0.0000
 A11_12.wav	 2.982	 0.000	 0	 16000	0.0000
 A11_12_K.wav	 2.686	 0.000	 0	 16000	0.0000
 A11_12_84.wav	 3.428	 0.000	 0	 16000	0.0000
 A11_12_85.wav	 3.503	 0.000	 0	 16000	0.0000
 A11_120.wav	 3.097	 0.000	 0	 16000	0.0000
 A11_120_K.wav	 2.041	 0.000	 0	 16000	0.0000
 A11_120_84.wav	 3.638	 0.000	 0	 16000	0.0000
 A11_120_85.wav	 3.622	 0.000	 0	 16000	0.0000
 A11_121.wav	 3.056	 0.000	 0	 16000	0.0000
 A11_121_K.wav	 2.399	 0.000	 0	 16000	0.0000
 A11_121_84.wav	 3.517	 0.000	 0	 16000	0.0000
 A11_121_85.wav	 3.583	 0.000	 0	 16000	0.0000
 A11_122.wav	 3.043	 0.000	 0	 16000	0.0000
 A11_122_K.wav	 2.594	 0.000	 0	 16000	0.0000
 A11_122_84.wav	 3.444	 0.000	 0	 16000	0.0000
 A11_122_85.wav	 3.539	 0.000	 0	 16000	0.0000
 A11_123.wav	 3.083	 0.000	 0	 16000	0.0000
 A11_123_K.wav	 2.512	 0.000	 0	 16000	0.0000
 A11_123_84.wav	 3.254	 0.000	 0	 16000	0.0000
 A11_123_85.wav	 3.350	 0.000	 0	 16000	0.0000
 A11_125.wav	 3.000	 0.000	 0	 16000	0.0000
 A11_125_K.wav	 2.181	 0.000	 0	 16000	0.0000
 A11_125_84.wav	 3.300	 0.000	 0	 16000	0.0000
 A11_125_85.wav	 3.334	 0.000	 0	 16000	0.0000
 A11_126.wav	 3.132	 0.000	 0	 16000	0.0000
 A11_126_K.wav	 2.205	 0.000	 0	 16000	0.0000
 A11_126_84.wav	 3.588	 0.000	 0	 16000	0.0000
 A11_126_85.wav	 3.628	 0.000	 0	 16000	0.0000
 A11_127.wav	 3.105	 0.000	 0	 16000	0.0000
 A11_127_K.wav	 2.289	 0.000	 0	 16000	0.0000
 A11_127_84.wav	 3.536	 0.000	 0	 16000	0.0000
 A11_127_85.wav	 3.557	 0.000	 0	 16000	0.0000
 A11_128.wav	 3.065	 0.000	 0	 16000	0.0000
 A11_128_K.wav	 2.202	 0.000	 0	 16000	0.0000
 A11_128_84.wav	 3.491	 0.000	 0	 16000	0.0000
 A11_128_85.wav	 3.565	 0.000	 0	 16000	0.0000
 A11_129.wav	 3.061	 0.000	 0	 16000	0.0000
 A11_129_K.wav	 2.143	 0.000	 0	 16000	0.0000
 A11_129_84.wav	 3.322	 0.000	 0	 16000	0.0000
 A11_129_85.wav	 3.338	 0.000	 0	 16000	0.0000
 A11_13.wav	 3.021	 0.000	 0	 16000	0.0000
 A11_13_K.wav	 2.772	 0.000	 0	 16000	0.0000
 A11_13_84.wav	 3.220	 0.000	 0	 16000	0.0000
 A11_13_85.wav	 3.251	 0.000	 0	 16000	0.0000
 A11_130.wav	 2.958	 0.000	 0	 16000	0.0000
 A11_130_K.wav	 2.446	 0.000	 0	 16000	0.0000
 A11_130_84.wav	 3.490	 0.000	 0	 16000	0.0000
 A11_130_85.wav	 3.554	 0.000	 0	 16000	0.0000
 A11_131.wav	 3.108	 0.000	 0	 16000	0.0000
 A11_131_K.wav	 2.001	 0.000	 0	 16000	0.0000
 A11_131_84.wav	 3.501	 0.000	 0	 16000	0.0000
 A11_131_85.wav	 3.527	 0.000	 0	 16000	0.0000
 A11_133.wav	 3.146	 0.000	 0	 16000	0.0000
 A11_133_K.wav	 2.375	 0.000	 0	 16000	0.0000
 A11_133_84.wav	 3.620	 0.000	 0	 16000	0.0000
 A11_133_85.wav	 3.614	 0.000	 0	 16000	0.0000
 A11_134.wav	 3.150	 0.000	 0	 16000	0.0000
 A11_134_K.wav	 2.429	 0.000	 0	 16000	0.0000
 A11_134_84.wav	 3.465	 0.000	 0	 16000	0.0000
 A11_134_85.wav	 3.557	 0.000	 0	 16000	0.0000
 A11_135.wav	 3.146	 0.000	 0	 16000	0.0000
 A11_135_K.wav	 2.317	 0.000	 0	 16000	0.0000
 A11_135_84.wav	 3.590	 0.000	 0	 16000	0.0000
 A11_135_85.wav	 3.593	 0.000	 0	 16000	0.0000
 A11_136.wav	 3.088	 0.000	 0	 16000	0.0000
 A11_136_K.wav	 2.298	 0.000	 0	 16000	0.0000
 A11_136_84.wav	 3.512	 0.000	 0	 16000	0.0000
 A11_136_85.wav	 3.529	 0.000	 0	 16000	0.0000
 A11_137.wav	 3.117	 0.000	 0	 16000	0.0000
 A11_137_K.wav	 2.423	 0.000	 0	 16000	0.0000
 A11_137_84.wav	 3.516	 0.000	 0	 16000	0.0000
 A11_137_85.wav	 3.559	 0.000	 0	 16000	0.0000
 A11_138.wav	 3.286	 0.000	 0	 16000	0.0000
 A11_138_K.wav	 2.469	 0.000	 0	 16000	0.0000
 A11_138_84.wav	 3.420	 0.000	 0	 16000	0.0000
 A11_138_85.wav	 3.438	 0.000	 0	 16000	0.0000
 A11_139.wav	 3.092	 0.000	 0	 16000	0.0000
 A11_139_K.wav	 2.343	 0.000	 0	 16000	0.0000
 A11_139_84.wav	 3.479	 0.000	 0	 16000	0.0000
 A11_139_85.wav	 3.495	 0.000	 0	 16000	0.0000
 A11_14.wav	 2.867	 0.000	 0	 16000	0.0000
 A11_14_K.wav	 2.540	 0.000	 0	 16000	0.0000
 A11_14_84.wav	 3.129	 0.000	 0	 16000	0.0000
 A11_14_85.wav	 3.138	 0.000	 0	 16000	0.0000
